,Title,Channel,Length,Likes,Dislikes,Views,Comments,Uploaded,Depth,LikeRatio,Minutes,views_str,likes_str,dislikes_str,LikeRatio_str,plot_text
22,Friends: Will and Rachel (Clip) | TBS,TBS,02:27,26342,613,3271224,728,2013-11-26,3,97.726,2.45,3271224,26342,613,97.726,Friends: Will and Rachel (Clip) | TBS<br>Channel: TBS<br>Views: 3271224<br>Likes: 26342<br>LikeRatio: 97.726<br>Length: 02:27
23,Friends: Joey Pretends to Be Dr. Ramoray (Season 2 Clip) | TBS,TBS,02:54,40090,720,3625534,1386,2020-04-11,3,98.236,2.9,3625534,40090,720,98.236,Friends: Joey Pretends to Be Dr. Ramoray (Season 2 Clip) | TBS<br>Channel: TBS<br>Views: 3625534<br>Likes: 40090<br>LikeRatio: 98.236<br>Length: 02:54
24,Friends: Rachel Finds Out (Season 1 Clip) | TBS,TBS,04:22,56245,1096,5795630,1575,2020-02-29,3,98.089,4.367,5795630,56245,1096,98.089,Friends: Rachel Finds Out (Season 1 Clip) | TBS<br>Channel: TBS<br>Views: 5795630<br>Likes: 56245<br>LikeRatio: 98.089<br>Length: 04:22
25,Friends: Ross Moves In With Chandler And Joey (Season 5 Clip) | TBS,TBS,05:17,2271,42,174567,88,2021-06-28,3,98.184,5.283,174567,2271,42,98.184,Friends: Ross Moves In With Chandler And Joey (Season 5 Clip) | TBS<br>Channel: TBS<br>Views: 174567<br>Likes: 2271<br>LikeRatio: 98.184<br>Length: 05:17
26,Friends: Ross Cheats on Rachel (Season 3 Clip) | TBS,TBS,03:23,49979,757,3816338,3651,2020-07-19,3,98.508,3.383,3816338,49979,757,98.508,Friends: Ross Cheats on Rachel (Season 3 Clip) | TBS<br>Channel: TBS<br>Views: 3816338<br>Likes: 49979<br>LikeRatio: 98.508<br>Length: 03:23
28,Friends: Best Moments From Season 2 (Mashup) | TBS,TBS,56:52,121686,5439,17899831,4339,2020-08-20,3,95.722,56.867,17899831,121686,5439,95.722,Friends: Best Moments From Season 2 (Mashup) | TBS<br>Channel: TBS<br>Views: 17899831<br>Likes: 121686<br>LikeRatio: 95.722<br>Length: 56:52
29,Friends: Joey’s Top 22 Worst Advice Moments | TBS,TBS,15:35,111169,2836,10615168,2527,2020-03-09,3,97.512,15.583,10615168,111169,2836,97.512,Friends: Joey’s Top 22 Worst Advice Moments | TBS<br>Channel: TBS<br>Views: 10615168<br>Likes: 111169<br>LikeRatio: 97.512<br>Length: 15:35
30,Friends: Ross Hears Rachel's Voicemail Confessing Her Love (Season 2 Clip) | TBS,TBS,02:29,29303,352,2437709,647,2020-03-26,4,98.813,2.483,2437709,29303,352,98.813,Friends: Ross Hears Rachel's Voicemail Confessing Her Love (Season 2 Clip) | TBS<br>Channel: TBS<br>Views: 2437709<br>Likes: 29303<br>LikeRatio: 98.813<br>Length: 02:29
31,Friends: Ross and Rachel’s Love Story (Mashup) | TBS,TBS,29:56,43248,939,3455568,1838,2020-07-01,4,97.875,29.933,3455568,43248,939,97.875,Friends: Ross and Rachel’s Love Story (Mashup) | TBS<br>Channel: TBS<br>Views: 3455568<br>Likes: 43248<br>LikeRatio: 97.875<br>Length: 29:56
32,Friends: Joey Finds Out (Season 5 Clip) | TBS,TBS,03:23,79657,1114,6604823,1975,2020-12-06,4,98.621,3.383,6604823,79657,1114,98.621,Friends: Joey Finds Out (Season 5 Clip) | TBS<br>Channel: TBS<br>Views: 6604823<br>Likes: 79657<br>LikeRatio: 98.621<br>Length: 03:23
34,Friends: Will Lost Weight (Clip) | TBS,TBS,01:44,30350,735,3641383,888,2013-11-26,4,97.636,1.733,3641383,30350,735,97.636,Friends: Will Lost Weight (Clip) | TBS<br>Channel: TBS<br>Views: 3641383<br>Likes: 30350<br>LikeRatio: 97.636<br>Length: 01:44
